id,title,category,tags,description
1,Inception,Movie,"sci-fi thriller action dream","A mind-bending science fiction thriller about dreams and reality."
2,The Pursuit of Happyness,Movie,"drama inspirational biography family","An emotional story about persistence, family, and hope."
3,Interstellar,Movie,"sci-fi space adventure drama","A space exploration story about love, survival, and time."
4,The Dark Knight,Movie,"action crime superhero thriller","A dark superhero crime film with intense action and strategy."
5,Coco,Movie,"animation family music emotional","A colorful animated film about music, memory, and family."
6,Atomic Habits,Book,"self-help productivity habits personal-growth","A practical book about building better habits and systems."
7,The Alchemist,Book,"fiction adventure spiritual inspirational","A short novel about dreams, destiny, and personal discovery."
8,Rich Dad Poor Dad,Book,"finance money business education","A personal finance book about money mindset and investing."
9,Deep Work,Book,"productivity focus career self-help","A guide to focused work in a distracted world."
10,Ikigai,Book,"self-help lifestyle wellness happiness","A book about purpose, longevity, and meaningful living."
11,Wireless Headphones,Product,"technology music audio travel","Bluetooth headphones for music, calls, and travel."
12,Fitness Band,Product,"fitness health wearable tracking","A wearable device for tracking activity, sleep, and health."
13,Kindle Reader,Product,"reading books technology travel","A portable e-reader for books and long reading sessions."
14,Coffee Maker,Product,"kitchen coffee home appliance","A home appliance for making fresh coffee quickly."
15,Laptop Stand,Product,"workspace productivity laptop ergonomic","An ergonomic stand for improving desk comfort and posture."
